,StopID,Name,Routes
303,407,Custom House Quay,"['41X', '33X', '33D', '151', '15B', '15A', '142']"
304,408,Merrion Sq,"['120', '27X', '4', '7A', '7']"
305,409,Merrion Sq,"['7', '7A', '4', '27X', '120']"
306,410,Mount St,"['120', '4', '7A', '7']"
307,411,Mount St,"['7', '7A', '4', '120', '27X']"
308,412,Northumberland Rd,"['120', '4', '7A', '7']"
309,413,Northumberland Rd,"['7', '7A', '4', '120']"
310,414,Pembroke Road,"['120', '27X', '4', '7A', '7']"
311,415,Pembroke Road,"['7', '7A', '4', '120']"
312,416,Ballsbridge,"['27X', '4', '7A', '7']"
313,417,Merrion Road,"['7', '7A', '7D', '4', '27X']"
314,418,Merrion Road,"['27X', '4', '7A', '7']"
315,419,Merrion Road,"['7', '7A', '4', '27X']"
316,420,Merrion Road,"['27X', '4', '7A', '7']"
317,421,Merrion Road,"['7', '7A', '4']"
318,422,Merrion Road,"['4', '7A', '7', '84A']"
319,423,Merrion Road,"['84A', '7', '7A', '4']"
320,424,Merrion Road,"['4', '7A', '7', '84A']"
321,425,Merrion Road,"['84A', '7', '7A', '4']"
322,426,Rock Road,"['4', '7A', '7', '84A']"
323,427,Rock Road,"['84A', '7', '7A', '4']"
324,428,Rock Road,"['4', '7A', '7']"
325,429,Rock Road,"['7', '7A', '4', '84A']"
326,430,Sydney Avenue,['17']
327,431,Cross Avenue,['17']
328,432,Hyde Park Avenue,['17']
329,433,Grove Avenue,['17']
330,434,Woodlands Park,['17']
331,435,Stillorgan Road,"['46A', '47', '7D', '7B', '116', '145', '155']"
332,437,Trees Rd Lw,['47']
333,441,Kilmacud Rd,['11']
334,442,Kilmacud Rd,['11']
335,443,Kilmacud Rd,['11']
336,444,Kilmacud Rd,"['11', '116', '47']"
337,445,Kilmacud Rd,"['47', '116', '11']"
338,447,Kilmacud Rd,"['11', '116', '47']"
339,448,Burton Hall Rd,"['47', '116']"
340,449,Blackthorn Road,"['116', '11']"
341,450,Blackthorn Road,"['11', '116']"
342,451,Blackthorn Drive,"['116', '11', '47']"
343,453,Kilmacud Rd,"['47', '11', '116']"
344,454,Kilmacud Rd,['11']
345,459,South Avenue,['47']
346,460,Trees Rd Lw,['47']
347,461,Stillorgan Road,"['47', '46E', '46A', '7B', '7D', '116', '118', '155', '145']"
348,462,Mount Merrion Avenue,['17']
349,464,Southhill Avenue,['17']
350,465,Clanfadda Wood,['17']
351,466,Glenvar Park,['17']
352,467,Cross Avenue,['17']
353,468,Sydney Avenue,['17']
354,469,Rock Road,"['84A', '7D', '7A', '7', '4']"
355,470,Rock Road,"['4', '7', '7A', '7D', '84A']"
356,471,Rock Road,"['84A', '7A', '7D', '7', '4']"
357,472,Rock Road,"['4', '7', '7D', '7A', '84A']"
358,473,Rock Road,"['84A', '7A', '7D', '7', '4']"
359,475,Rock Road,"['4', '7', '7D', '7A', '84A']"
360,476,Rock Road,"['84A', '7A', '7D', '7', '4']"
361,477,Merrion Road,"['4', '7', '7D', '7A', '84A']"
362,478,Merrion Road,"['84A', '7A', '7D', '7', '4']"
363,479,Merrion Road,"['4', '7', '7A', '27X']"
364,480,Merrion Road,"['27X', '7A', '7', '4']"
365,481,Merrion Road,"['4', '7', '7A', '27X']"
366,482,Merrion Road,"['27X', '7A', '7', '4']"
367,483,Merrion Road,"['4', '7', '7A', '27X']"
368,485,Ballsbridge,"['27X', '120', '7A', '7D', '7', '4']"
369,486,RDS Ballsbridge,['18']
370,487,Pembroke Road,"['4', '7', '7D', '7A', '120']"
371,488,Northumberland Rd,"['120', '27X', '7A', '7D', '7', '4']"
372,489,Northumberland Rd,"['4', '7', '7D', '7A', '120']"
373,490,Northumberland Rd,"['120', '7A', '7D', '7', '4']"
374,491,Mount St,"['4', '7', '7D', '7A', '120', '27X']"
375,492,Grattan St,"['120', '7A', '7D', '7', '4']"
376,493,Merrion Sq,"['4', '7', '67', '66A', '66B', '66', '66E', '7D', '7A', '120', '25', '25A', '27X', '26', '25D', '25B']"
377,494,Clare Street,"['25B', '25D', '26', '27X', '25A', '25', '120', '7A', '7D', '757', '66E', '66', '66B', '66A', '67', '7', '4']"
378,495,Westland Row,"['4', '44', '7', '67', '66A', '66B', '66', '61', '66E', '757', '7D', '7A', '120', '25', '25A', '27X', '26', '25D', '25B']"
379,496,Beresford Place,"['27X', '27', '27A', '32', '31B', '31A', '29A', '31', '32X', '14', '130', '53']"
380,497,Amiens Street,"['53', '42', '43', '130', '14', '15', '32X', '31', '29A', '31A', '31B', '32', '27A', '27', '27X', '27B']"
381,499,Summerhill Parade,['123']
382,500,Ballybough Rd,['123']
383,501,Ballybough Rd,['123']
384,509,Ballybough Rd,['123']
385,510,Ballybough Rd,['123']
386,511,Summerhill Parade,['123']
387,512,Summerhill Rd,"['123', '53A']"
388,513,Summerhill Rd,"['53A', '53', '123']"
389,515,Amiens Street,"['130', '14', '15', '27', '27A', '32', '31B', '29A', '27B', '31', '31A', '53', '43', '42']"
390,516,North Strand Rd,"['42', '43', '53', '31A', '31', '27B', '29A', '31B', '32', '27A', '27', '15', '14', '130']"
391,518,North Strand Rd,['53']
392,519,North Strand Rd,"['43', '42', '130', '14', '15', '27', '27A', '27B', '32', '31B', '29A', '31', '31A']"
393,521,Annesley Bridge,"['31A', '31', '29A', '31B', '32', '27B', '27A', '27', '15', '14', '130', '42', '43']"
394,522,Marino Mart,"['43', '42', '130', '14', '15', '27', '27A', '27B', '32', '32X', '31B', '29A', '31', '31A']"
395,523,Marino Mart,"['31A', '31', '29A', '31B', '32X', '32', '27B', '27X', '27A', '27', '15', '14', '130', '42', '43']"
396,525,Howth Road,"['32', '31B', '29A', '31', '31A']"
397,526,Howth Road,"['31A', '31', '29A', '31B', '32']"
398,527,Howth Road,"['32', '31B', '29A', '31', '31A']"
399,528,Howth Road,"['31A', '31', '29A', '31B', '32']"
400,529,Howth Road,"['32', '31B', '29A', '31', '31A']"
401,530,Howth Road,"['31A', '31', '29A', '31B', '31D', '32']"
402,531,Howth Road,"['32', '31D', '31B', '29A', '31', '31A']"
403,532,Howth Road,"['31A', '31', '29A', '31B', '31D', '32']"
404,533,Howth Road,"['32', '31D', '31B', '31', '31A']"
405,534,Howth Road,"['31A', '31', '31B', '31D', '32']"
406,535,Raheny Village,"['32', '31D', '31B', '31', '31A']"
407,536,Raheny Village,"['31A', '31', '31B', '31D', '32']"
408,537,Howth Road,"['32', '31D', '31B', '31', '31A']"
409,538,Howth Road,"['31A', '31', '31B', '31D', '32']"
410,539,Howth Road,"['32', '31D', '31B', '31', '31A']"
411,540,Howth Road,"['31A', '31', '31B', '31D', '32']"
412,541,Howth Road,"['32', '31D', '31B', '31', '31A']"
413,542,Dublin Rd,"['31A', '31', '31B', '31D', '32']"
414,543,Dublin Rd,"['32', '31D', '31B', '31', '31A']"
415,544,Dublin Rd,"['31A', '31', '31B', '31D', '32', '32X']"
416,545,Dublin Rd,"['32', '31D', '31B', '31', '31A']"
417,546,Dublin Rd,"['31A', '31', '31B', '31D', '32', '32X']"
418,547,Dublin Rd,"['31B', '31', '31A']"
419,548,Dublin Rd,"['31A', '31', '31B']"
420,549,Dublin Rd,"['31B', '31', '31A']"
421,550,Sutton Cross,"['31A', '31']"
422,551,Howth Road,"['31', '31A']"
423,552,Howth Road,"['31A', '31']"
424,553,Howth Road,"['31', '31A']"
425,554,Howth Road,"['31A', '31']"
426,555,Howth Road,"['31', '31A']"
427,557,Howth Road,"['31A', '31', '31B']"
428,558,Howth Road,"['31B', '31', '31A']"
429,559,Howth Road,"['31A', '31', '31B']"
430,560,Howth,"['31B', '31', '31A']"
431,562,Thormanby Road,"['31A', '31', '31B']"
432,563,Thormanby Road,"['31B', '31', '31A']"
433,564,Thormanby Road,"['31A', '31', '31B']"
434,565,Thormanby Road,"['31B', '31', '31A']"
435,566,Thormanby Road,"['31A', '31', '31B']"
436,567,Thormanby Road,"['31', '31A']"
437,568,Thormanby Road,"['31A', '31']"
438,569,Thormanby Road,"['31', '31A']"
439,570,Thormanby Road,"['31A', '31']"
440,571,Thormanby Road,"['31', '31A']"
441,572,Thormanby Road,"['31A', '31']"
442,573,Thormanby Road,"['31', '31A']"
443,574,Thormanby Road,"['31A', '31']"
444,575,Howth,"['31', '31A']"
445,576,Harbour Road,"['31A', '31']"
446,577,Harbour Road,"['31', '31A']"
447,579,Howth Road,"['31A', '31']"
448,580,Howth Road,"['31', '31A']"
449,581,Howth Road,"['31A', '31']"
450,582,Howth Road,"['31', '31A']"
451,583,Howth Road,"['31A', '31']"
452,584,Howth Road,"['31', '31A']"
453,585,Sutton Cross,"['31A', '31', '31B']"
454,586,Dublin Rd,"['31B', '31', '31A']"
455,587,Dublin Rd,"['31A', '31', '31B', '31D', '32']"
456,588,Dublin Rd,"['32', '32X', '31D', '31B', '31', '31A']"
457,589,Dublin Rd,"['31A', '31', '31B', '31D', '32']"
458,590,Dublin Rd,"['32', '32X', '31D', '31B', '31', '31A']"
459,591,Dublin Rd,"['31A', '31', '31B', '31D', '32']"
460,592,Dublin Rd,"['32', '31D', '31B', '31', '31A']"
461,593,Howth Road,"['31A', '31', '31B', '31D', '32']"
462,594,Howth Road,"['32', '31D', '31B', '31', '31A']"
463,595,Howth Road,"['31A', '31', '31B', '31D', '32']"
464,596,Howth Road,"['32', '31D', '31B', '31', '31A']"
465,597,Howth Road,"['31A', '31', '31B', '31D', '32']"
466,598,Howth Road,"['32', '31D', '31B', '31', '31A']"
467,599,Howth Road,"['31A', '31', '31B', '31D', '32']"
468,600,Howth Road,"['32', '31D', '31B', '31', '29A', '31A']"
469,601,Howth Road,"['31A', '31', '31B', '31D', '32']"
470,602,Howth Road,"['32', '31D', '31B', '31', '31A']"
471,603,Howth Road,"['31A', '31', '31B', '31D', '32']"
472,604,Howth Road,"['32', '31D', '31B', '31', '29A', '31A']"
473,605,Howth Road,"['31A', '29A', '31', '31B', '31D', '32']"
474,606,Howth Road,"['32', '31D', '31B', '31', '29A', '31A']"
475,607,Howth Road,"['31A', '29A', '31', '31B', '31D', '32']"
476,608,Howth Road,"['32', '31D', '31B', '31', '29A', '31A']"
477,609,Howth Road,"['31A', '29A', '31', '31B', '32']"
478,610,Howth Road,"['32', '31B', '31', '29A', '31A']"
479,611,Howth Road,"['31A', '29A', '31', '31B', '32']"
480,612,Howth Road,"['32', '31B', '31', '29A', '31A']"
481,613,Howth Road,"['31A', '29A', '31', '31B', '32']"
482,614,Fairview,"['32', '31B', '31', '29A', '31A', '27', '27A', '27X', '27B', '32X', '130', '14', '14C', '15', '43', '42']"
483,615,Annesley Brg Rd.,"['42', '43', '15', '14C', '14', '130', '27B', '27A', '27', '31A', '29A', '31', '31B', '32']"
484,616,North Strand Rd,"['32', '31B', '31', '29A', '31A', '27', '27A', '27B', '130', '14', '14C', '15', '43', '42', '53']"
485,617,North Strand Rd,"['53', '42', '43', '15', '14C', '14', '130', '27B', '27A', '27', '31A', '29A', '31', '31B', '32']"
